"","DATE","ATM","Cash"
"261",2009-07-05,"ATM1",114
"262",2009-07-05,"ATM2",122
"263",2009-07-05,"ATM3",0
"264",2009-07-05,"ATM4",683
"265",2009-07-06,"ATM1",126
"266",2009-07-06,"ATM2",100
"267",2009-07-06,"ATM3",0
"268",2009-07-06,"ATM4",55
"269",2009-07-07,"ATM1",126
"270",2009-07-07,"ATM2",108
"271",2009-07-07,"ATM3",0
"272",2009-07-07,"ATM4",214
"273",2009-07-08,"ATM1",73
"274",2009-07-08,"ATM2",25
"275",2009-07-08,"ATM3",0
"276",2009-07-08,"ATM4",739
"277",2009-07-09,"ATM1",4
"278",2009-07-09,"ATM2",6
"279",2009-07-09,"ATM3",0
"280",2009-07-09,"ATM4",17
"281",2009-07-10,"ATM1",19
"282",2009-07-10,"ATM2",22
"283",2009-07-10,"ATM3",0
"284",2009-07-10,"ATM4",17
"285",2009-07-11,"ATM1",114
"286",2009-07-11,"ATM2",135
"287",2009-07-11,"ATM3",0
"288",2009-07-11,"ATM4",1051
"289",2009-07-12,"ATM1",98
"290",2009-07-12,"ATM2",69
"291",2009-07-12,"ATM3",0
"292",2009-07-12,"ATM4",439
"293",2009-07-13,"ATM1",97
"294",2009-07-13,"ATM2",52
"295",2009-07-13,"ATM3",0
"296",2009-07-13,"ATM4",547
"297",2009-07-14,"ATM1",114
"298",2009-07-14,"ATM2",81
"299",2009-07-14,"ATM3",0
"300",2009-07-14,"ATM4",859
"301",2009-07-15,"ATM1",78
"302",2009-07-15,"ATM2",27
"303",2009-07-15,"ATM3",0
"304",2009-07-15,"ATM4",447
"305",2009-07-16,"ATM1",19
"306",2009-07-16,"ATM2",4
"307",2009-07-16,"ATM3",0
"308",2009-07-16,"ATM4",95
"309",2009-07-17,"ATM1",102
"310",2009-07-17,"ATM2",147
"311",2009-07-17,"ATM3",0
"312",2009-07-17,"ATM4",645
"313",2009-07-18,"ATM1",94
"314",2009-07-18,"ATM2",102
"315",2009-07-18,"ATM3",0
"316",2009-07-18,"ATM4",569
"317",2009-07-19,"ATM1",108
"318",2009-07-19,"ATM2",83
"319",2009-07-19,"ATM3",0
"320",2009-07-19,"ATM4",705
"321",2009-07-20,"ATM1",91
"322",2009-07-20,"ATM2",55
"323",2009-07-20,"ATM3",0
"324",2009-07-20,"ATM4",572
"325",2009-07-21,"ATM1",86
"326",2009-07-21,"ATM2",74
"327",2009-07-21,"ATM3",0
"328",2009-07-21,"ATM4",480
"329",2009-07-22,"ATM1",78
"330",2009-07-22,"ATM2",22
"331",2009-07-22,"ATM3",0
"332",2009-07-22,"ATM4",419
"333",2009-07-23,"ATM1",16
"334",2009-07-23,"ATM2",4
"335",2009-07-23,"ATM3",0
"336",2009-07-23,"ATM4",28
"337",2009-07-24,"ATM1",114
"338",2009-07-24,"ATM2",104
"339",2009-07-24,"ATM3",0
"340",2009-07-24,"ATM4",835
"341",2009-07-25,"ATM1",115
"342",2009-07-25,"ATM2",81
"343",2009-07-25,"ATM3",0
"344",2009-07-25,"ATM4",911
"345",2009-07-26,"ATM1",108
"346",2009-07-26,"ATM2",61
"347",2009-07-26,"ATM3",0
"348",2009-07-26,"ATM4",469
"349",2009-07-27,"ATM1",102
"350",2009-07-27,"ATM2",70
"351",2009-07-27,"ATM3",0
"352",2009-07-27,"ATM4",769
"353",2009-07-28,"ATM1",129
"354",2009-07-28,"ATM2",126
"355",2009-07-28,"ATM3",0
"356",2009-07-28,"ATM4",1090
"357",2009-07-29,"ATM1",79
"358",2009-07-29,"ATM2",33
"359",2009-07-29,"ATM3",0
"360",2009-07-29,"ATM4",267
"361",2009-07-30,"ATM1",13
"362",2009-07-30,"ATM2",7
